borough,neighborhood,room type,price,service fee,review rate number
Brooklyn,Gravesend,Shared room,655.5714285714286,131.14285714285714,3.7142857142857144
Brooklyn,Greenpoint,Entire home/apt,609.69779286927,121.93548387096774,3.1816638370118846
Brooklyn,Greenpoint,Hotel room,796.4,159.0,3.8
Brooklyn,Greenpoint,Private room,612.4293981481482,122.48958333333333,3.2604166666666665
Brooklyn,Greenpoint,Shared room,659.5806451612904,131.93548387096774,3.225806451612903
Brooklyn,Kensington,Entire home/apt,610.8692810457517,122.16993464052288,3.392156862745098
Brooklyn,Kensington,Private room,610.2722772277227,122.04455445544555,3.297029702970297
Brooklyn,Kensington,Shared room,659.1111111111111,131.88888888888889,2.888888888888889
Brooklyn,Manhattan Beach,Entire home/apt,717.1666666666666,143.33333333333334,2.3333333333333335
Brooklyn,Manhattan Beach,Private room,594.0,118.75,2.75
Brooklyn,Midwood,Entire home/apt,576.1682242990654,115.20560747663552,3.682242990654206
Brooklyn,Midwood,Private room,626.3963963963964,125.28828828828829,3.324324324324324
Brooklyn,Midwood,Shared room,418.54545454545456,83.72727272727273,2.909090909090909
Brooklyn,Mill Basin,Entire home/apt,792.2307692307693,158.53846153846155,3.769230769230769
Brooklyn,Mill Basin,Private room,553.0,111.0,4.0
Brooklyn,Navy Yard,Entire home/apt,584.3333333333334,116.85714285714286,3.761904761904762
Brooklyn,Navy Yard,Private room,269.8888888888889,54.0,2.6666666666666665
Brooklyn,Park Slope,Entire home/apt,606.8706536856746,121.36300417246176,3.273991655076495
Brooklyn,Park Slope,Private room,612.6809338521401,122.56031128404669,3.1945525291828796
Brooklyn,Park Slope,Shared room,476.0,95.0,2.0
Brooklyn,Prospect Heights,Entire home/apt,661.2543209876543,132.22962962962964,3.128395061728395
Brooklyn,Prospect Heights,Private room,631.6344086021505,126.28673835125448,3.1254480286738353
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,614.5481239804242,122.90538336052202,3.264274061990212
Brooklyn,Prospect-Lefferts Gardens,Private room,671.1479289940828,134.23471400394476,3.289940828402367
Brooklyn,Prospect-Lefferts Gardens,Shared room,901.0,180.13333333333333,4.0
Brooklyn,Red Hook,Entire home/apt,609.225,121.875,3.2
Brooklyn,Red Hook,Private room,664.6603773584906,132.88679245283018,2.9056603773584904
Brooklyn,Red Hook,Shared room,809.4,161.6,3.2
Brooklyn,Sea Gate,Entire home/apt,610.8333333333334,122.16666666666667,3.4166666666666665
Brooklyn,Sea Gate,Private room,564.0,112.8,2.2
Brooklyn,Sheepshead Bay,Entire home/apt,623.4965517241379,124.71034482758621,3.282758620689655
Brooklyn,Sheepshead Bay,Private room,623.5367231638418,124.69491525423729,3.175141242937853
Brooklyn,Sheepshead Bay,Shared room,629.4324324324324,125.8108108108108,3.4324324324324325
Brooklyn,South Slope,Entire home/apt,653.4699453551913,130.7295081967213,3.0956284153005464
Brooklyn,South Slope,Private room,642.8548387096774,128.58064516129033,3.338709677419355
Brooklyn,South Slope,Shared room,718.0,144.0,4.0
Brooklyn,Sunset Park,Entire home/apt,642.6435643564356,128.52722772277227,3.1633663366336635
Brooklyn,Sunset Park,Private room,619.8568181818182,123.95454545454545,3.1818181818181817
Brooklyn,Sunset Park,Shared room,564.2857142857143,112.85714285714286,2.7142857142857144
Brooklyn,Vinegar Hill,Entire home/apt,656.5681818181819,131.4090909090909,3.1136363636363638
Brooklyn,Vinegar Hill,Private room,600.9166666666666,120.125,3.25
Brooklyn,Vinegar Hill,Shared room,605.5,121.25,1.75
Brooklyn,Williamsburg,Entire home/apt,622.4683510638298,124.50079787234043,3.253191489361702
Brooklyn,Williamsburg,Hotel room,635.6666666666666,127.0,3.6666666666666665
Brooklyn,Williamsburg,Private room,626.7273686988651,125.34705727104777,3.222486144101346
Brooklyn,Williamsburg,Shared room,714.8571428571429,142.92857142857142,3.75
Brooklyn,Windsor Terrace,Entire home/apt,607.3612334801762,121.49339207048457,2.973568281938326
Brooklyn,Windsor Terrace,Private room,497.6736842105263,99.5578947368421,3.3473684210526318
Manhattan,Battery Park City,Entire home/apt,600.8072289156627,120.20481927710843,3.3855421686746987
Manhattan,Battery Park City,Private room,556.3214285714286,111.14285714285714,2.9642857142857144
Manhattan,Battery Park City,Shared room,665.75,132.75,1.75
Manhattan,Chelsea,Entire home/apt,630.2660317460318,126.07047619047619,3.2596825396825397
Manhattan,Chelsea,Hotel room,345.0,69.0,5.0
Manhattan,Chelsea,Private room,636.0657051282051,127.21153846153847,3.27724358974359
Manhattan,Chelsea,Shared room,784.8,156.96666666666667,2.6
Manhattan,Chinatown,Entire home/apt,627.5701559020044,125.54120267260579,3.1937639198218264
Manhattan,Chinatown,Private room,643.9906542056075,128.80373831775702,3.1401869158878504
Manhattan,Chinatown,Shared room,677.3333333333334,135.66666666666666,1.6666666666666667
Manhattan,Civic Center,Entire home/apt,649.3623188405797,129.91304347826087,3.3333333333333335
Manhattan,Civic Center,Private room,583.921052631579,116.8157894736842,3.710526315789474
Manhattan,East Harlem,Entire home/apt,618.4679358717435,123.6943887775551,3.381763527054108
Manhattan,East Harlem,Private room,628.5680473372781,125.7134404057481,3.2696534234995775
Manhattan,East Harlem,Shared room,650.1290322580645,130.01075268817203,3.4623655913978495
Manhattan,East Village,Entire home/apt,625.156862745098,125.02773792443807,3.2314681970349115
Manhattan,East Village,Hotel room,467.0,93.0,5.0
Manhattan,East Village,Private room,605.3556085918855,121.0540970564837,3.324582338902148
Manhattan,East Village,Shared room,649.5897435897435,129.89743589743588,3.4615384615384617
Manhattan,Financial District,Entire home/apt,620.692607003891,124.13910505836576,3.4153696498054473
Manhattan,Financial District,Private room,630.3869463869464,126.08624708624708,3.382284382284382
Manhattan,Financial District,Shared room,606.6923076923077,121.3076923076923,4.076923076923077
Manhattan,Flatiron District,Entire home/apt,610.2177419354839,122.08870967741936,3.2016129032258065
Manhattan,Flatiron District,Hotel room,606.0,121.33333333333333,4.0
Manhattan,Flatiron District,Private room,633.0714285714286,126.57142857142857,3.5714285714285716
Manhattan,Gramercy,Entire home/apt,611.3826638477801,122.26427061310783,3.3594080338266386
Manhattan,Gramercy,Private room,636.9796954314721,127.36040609137056,3.16751269035533
Manhattan,Gramercy,Shared room,415.6666666666667,83.16666666666667,4.166666666666667
Manhattan,Greenwich Village,Entire home/apt,630.6801470588235,126.15808823529412,3.1911764705882355
Manhattan,Greenwich Village,Hotel room,734.5,147.0,5.0
Manhattan,Greenwich Village,Private room,662.5166666666667,132.5,3.2777777777777777
Manhattan,Greenwich Village,Shared room,814.0,163.0,4.0
Manhattan,Harlem,Entire home/apt,625.0241075567918,125.01205377839592,3.225776541492814
Manhattan,Harlem,Hotel room,534.0,107.0,3.0
Manhattan,Harlem,Private room,626.6970483295491,125.33441453130068,3.2131041193642558
Manhattan,Harlem,Shared room,689.5869565217391,137.93478260869566,3.2065217391304346
Manhattan,Hell's Kitchen,Entire home/apt,618.261407249467,123.65586353944563,3.250319829424307
Manhattan,Hell's Kitchen,Hotel room,670.0,134.06666666666666,3.4
Manhattan,Hell's Kitchen,Private room,626.3343065693431,125.24598540145985,3.3094890510948907
Manhattan,Hell's Kitchen,Shared room,612.4437869822485,122.50295857988165,3.337278106508876
Manhattan,Inwood,Entire home/apt,673.0933333333334,134.63555555555556,3.1333333333333333
Manhattan,Inwood,Private room,657.5215946843854,131.49501661129568,3.262458471760797
Manhattan,Inwood,Shared room,526.3636363636364,105.27272727272727,2.4545454545454546
Manhattan,Kips Bay,Entire home/apt,613.5067064083457,122.68107302533532,3.384500745156483
Manhattan,Kips Bay,Private room,599.4752475247525,119.87623762376238,3.3613861386138613
Manhattan,Kips Bay,Shared room,663.4848484848485,132.66666666666666,3.1515151515151514
Manhattan,Little Italy,Entire home/apt,619.7692307692307,123.93956043956044,3.3626373626373627
Manhattan,Little Italy,Private room,591.8536585365854,118.34146341463415,2.8536585365853657
Manhattan,Little Italy,Shared room,734.75,147.25,1.75
Manhattan,Lower East Side,Entire home/apt,615.7232375979112,123.15665796344648,3.3977371627502175
Manhattan,Lower East Side,Hotel room,643.0,128.5,3.0
Manhattan,Lower East Side,Private room,643.0333333333333,128.6,3.1579710144927535
Manhattan,Lower East Side,Shared room,567.8983050847457,113.62711864406779,3.457627118644068
Manhattan,Marble Hill,Entire home/apt,592.1,118.3,2.3
Manhattan,Marble Hill,Private room,481.875,96.3125,3.4375
Manhattan,Midtown,Entire home/apt,610.4779982743745,122.095340811044,3.2687661777394306
Manhattan,Midtown,Hotel room,559.95,112.15,3.55
Manhattan,Midtown,Private room,610.4144050104384,122.07098121085595,3.3997912317327765
Manhattan,Midtown,Shared room,608.9333333333333,121.8,3.2888888888888888
Manhattan,Morningside Heights,Entire home/apt,641.4307692307692,128.32692307692307,3.05
Manhattan,Morningside Heights,Private room,613.768115942029,122.73333333333333,3.365217391304348
Manhattan,Morningside Heights,Shared room,350.72727272727275,70.0909090909091,3.3636363636363638
Manhattan,Murray Hill,Entire home/apt,627.3042912873863,125.4590377113134,3.330299089726918
Manhattan,Murray Hill,Hotel room,1008.5714285714286,201.71428571428572,3.7142857142857144
Manhattan,Murray Hill,Private room,562.8835616438356,112.56849315068493,3.4383561643835616
Manhattan,Murray Hill,Shared room,556.3913043478261,111.34782608695652,3.739130434782609
Manhattan,NoHo,Entire home/apt,656.656,131.28,3.368
Manhattan,NoHo,Private room,753.3,150.8,2.9
Manhattan,Nolita,Entire home/apt,628.9289940828403,125.77810650887574,3.2514792899408285
Manhattan,Nolita,Private room,637.0481927710844,127.37349397590361,3.1265060240963853
Manhattan,Nolita,Shared room,798.875,159.875,3.125
Manhattan,Roosevelt Island,Entire home/apt,708.8857142857142,141.8,3.342857142857143
Manhattan,Roosevelt Island,Hotel room,1057.0,211.0,3.0
Manhattan,Roosevelt Island,Private room,600.6101694915254,120.17796610169492,3.2542372881355934
Manhattan,Roosevelt Island,Shared room,647.75,129.75,2.75
Manhattan,SoHo,Entire home/apt,636.9445676274945,127.37694013303769,3.2771618625277164
Manhattan,SoHo,Hotel room,641.2727272727273,128.1818181818182,3.6363636363636362
Manhattan,SoHo,Private room,636.4313725490196,127.26470588235294,3.3088235294117645
Manhattan,SoHo,Shared room,577.4,115.4,1.4
Manhattan,Stuyvesant Town,Entire home/apt,631.9333333333333,126.3,3.466666666666667
Manhattan,Stuyvesant Town,Private room,708.88,141.7,3.02
Manhattan,Stuyvesant Town,Shared room,979.0,196.0,4.0
Manhattan,Theater District,Entire home/apt,642.0036231884058,128.42028985507247,3.398550724637681
Manhattan,Theater District,Hotel room,622.4117647058823,124.47058823529412,3.411764705882353
Manhattan,Theater District,Private room,625.3117870722433,125.09125475285171,3.403041825095057
Manhattan,Theater District,Shared room,955.3333333333334,190.66666666666666,3.3333333333333335
Manhattan,Tribeca,Entire home/apt,614.1323529411765,122.80882352941177,3.161764705882353
Manhattan,Tribeca,Private room,702.5074626865671,140.50746268656715,3.1194029850746268
Manhattan,Two Bridges,Entire home/apt,646.8947368421053,129.2280701754386,3.543859649122807
Manhattan,Two Bridges,Private room,614.4366197183099,122.92957746478874,3.1690140845070425
Manhattan,Upper East Side,Entire home/apt,622.2852311161217,124.46298384066141,3.2630590003757987
Manhattan,Upper East Side,Hotel room,404.0,81.0,2.0
Manhattan,Upper East Side,Private room,608.7988636363636,121.74659090909091,3.234090909090909
Manhattan,Upper East Side,Shared room,635.6235294117647,127.07058823529412,3.0941176470588236
Manhattan,Upper West Side,Entire home/apt,620.7395388556789,124.15243381725021,3.208795900939368
Manhattan,Upper West Side,Hotel room,646.2,129.4,3.0
Manhattan,Upper West Side,Private room,611.4869375907111,122.31785195936139,3.267053701015965
Manhattan,Upper West Side,Shared room,600.2926829268292,120.0609756097561,3.4634146341463414
Manhattan,Washington Heights,Entire home/apt,601.3006644518273,120.2873754152824,3.2641196013289036
Manhattan,Washington Heights,Private room,602.208256880734,120.44495412844037,3.2605504587155965
Manhattan,Washington Heights,Shared room,628.622641509434,125.73584905660377,3.150943396226415
Manhattan,West Village,Entire home/apt,644.4911575562701,128.90273311897107,3.217845659163987
Manhattan,West Village,Hotel room,938.8888888888889,187.66666666666666,3.3333333333333335
Manhattan,West Village,Private room,588.3658536585366,117.6829268292683,3.375609756097561
Manhattan,West Village,Shared room,661.6,132.4,3.0
Queens,Arverne,Entire home/apt,641.9172413793103,128.3793103448276,3.2482758620689656
Queens,Arverne,Private room,653.9594594594595,130.64864864864865,3.2027027027027026
Queens,Arverne,Shared room,850.5,170.0,2.5
Queens,Astoria,Entire home/apt,612.1201079622132,122.43319838056681,3.184885290148448
Queens,Astoria,Private room,656.8038277511962,131.34736842105264,3.241148325358852
Queens,Astoria,Shared room,642.7333333333333,128.57777777777778,3.0
